INTERVAL_START,INTERVAL_END,INTERVAL_STATUS,INTERVAL_NUM,INTERVAL_START,INTERVAL_DURATION,INTERVAL_DATA_POINTS,FAN0,FAN1,HEATER1,,SENS0_TEMP,SENS0_PRESS,SENS0_HUM,,SENS1_TEMP,SENS1_PRESS,SENS1_HUM,,SENS2_TEMP,SENS2_PRESS,SENS2_HUM,,SENS3_TEMP,SENS3_PRESS,SENS3_HUM
1726772550,1726772560,OK,58,946.95,10.05,188,255,255,15,,37.49,982.57,14.26,,29.64,996.06,17.64,,20.79,991.7,32.87,,29.61,987.22,17.15
1726772752,1726772762,OK,78,1148.72,10.05,188,255,255,14,,36.41,982.53,15.12,,29.38,996,17.92,,20.8,991.65,32.78,,29.28,987.18,17.47
1726772974,1726772984,OK,100,1370.68,10.05,188,255,255,13,,35.46,982.5,16,,29.1,995.98,18.37,,20.8,991.66,32.85,,28.94,987.2,18
1726773146,1726773156,OK,117,1542.2,10.05,188,255,255,12,,34.49,982.45,16.94,,28.8,995.91,18.82,,20.81,991.62,32.86,,28.57,987.1,18.5
1726773277,1726773287,OK,130,1673.37,10.05,188,255,255,11,,33.72,982.45,17.76,,28.53,995.86,19.24,,20.83,991.6,32.82,,28.26,987.07,19.06
1726773439,1726773449,OK,146,1834.79,10.05,188,255,255,10,,32.67,982.39,18.84,,28.18,995.8,19.78,,20.83,991.52,32.81,,27.83,987.02,19.68
1726773580,1726773590,OK,160,1976.03,10.05,188,255,255,9,,31.62,982.38,20.01,,27.82,995.75,20.38,,20.82,991.51,32.86,,27.38,986.94,20.35
1726773772,1726773782,OK,179,2167.7,10.05,188,255,255,8,,30.51,982.31,21.34,,27.38,995.7,21.13,,20.8,991.47,32.92,,26.88,986.88,21.18
1726773964,1726773974,OK,198,2359.38,10.05,188,255,255,7,,29.4,982.29,22.75,,26.96,995.63,21.85,,20.79,991.44,32.95,,26.37,986.85,22.01
1726774075,1726774085,OK,209,2470.35,10.05,188,255,255,6,,28.46,982.3,24.08,,26.67,995.58,22.33,,20.79,991.43,32.93,,25.99,986.79,22.75
1726774246,1726774256,OK,226,2641.86,10.05,188,255,255,5,,27.28,982.28,25.66,,26.21,995.58,23.11,,20.77,991.42,32.97,,25.45,986.78,23.54
1726774408,1726774418,OK,242,2803.28,10.05,188,255,255,4,,26.18,982.27,27.36,,25.79,995.57,23.89,,20.77,991.43,32.94,,24.93,986.76,24.49
1726774751,1726774761,OK,276,3146.29,10.05,188,255,255,3,,25.16,982.23,29.43,,25.32,995.48,24.89,,20.86,991.43,32.85,,24.39,986.71,25.9
1726774912,1726774923,OK,292,3307.71,10.05,188,255,255,2,,24.16,982.24,30.8,,25.01,995.43,25.33,,20.86,991.38,32.7,,24,986.67,26.32
1726775044,1726775054,OK,305,3438.86,10.05,188,255,255,1,,23.2,982.26,32.48,,24.68,995.37,25.9,,20.82,991.38,32.7,,23.58,986.64,27.02
1726775165,1726775175,OK,317,3559.93,10.05,188,255,255,0,,22.55,982.22,33.67,,24.42,995.38,26.4,,20.8,991.36,32.72,,23.26,986.63,27.58
